,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
5950,59.0,49700.0,1916,1,100.0,83.4,9.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,960.5,105.0,76.0,40.745526,-73.989274
5974,88.0,60290.0,1912,1,100.0,52.5,5.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,333.4,105.0,95.0,40.747327,-73.991678
5977,46.0,195238.0,1924,1,100.0,103.2,12.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1232.0,109.0,12905.530000000088,40.807567,-73.958787
5987,64.0,235000.0,1929,1,100.0,91.4,12.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,151.0,40.77616,-73.987594
5988,64.0,235000.0,1929,1,100.0,91.4,12.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,151.0,40.77616,-73.987594
5995,55.13228165660345,101000.0,1899,1,100.0,56.9,7.256123539601224,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1056.1,102.0,49.0,40.722301,-73.999437
6005,55.13228165660345,52023.0,1988,1,100.0,129.2,28.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,153.0,40.772657,-73.979269
6006,55.13228165660345,52023.0,1988,1,100.0,129.2,28.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,153.0,40.772657,-73.979269
6035,61.0,416240.0,1987,1,100.0,81.6,19.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5542.0,108.0,11401.0,40.764127,-73.971034
6036,61.0,416240.0,1987,1,100.0,81.6,19.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5542.0,108.0,11401.0,40.764127,-73.971034
6037,81.0,50711.0,1913,1,100.0,93.1,12.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1890.7,105.0,68.0,40.739872,-73.985584
6038,55.13228165660345,47263.0,1926,1,70.0,85.2,12.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,100.0,40.760539,-73.970328
6041,55.13228165660345,44961.0,1916,1,65.0,92.8,10.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,82.0,40.750642,-73.98199
6050,70.0,508435.0,1986,1,100.0,70.0,16.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,114.11500000000001,101.0,1502.0,40.708807,-74.008678
6058,45.0,597467.0,1931,1,100.0,92.3,18.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,104.0,115.0,40.757661,-73.990832
6106,41.0,317071.0,1969,1,100.0,123.1,16.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,12084.8,105.0,102.0,40.760121,-73.975144
6136,56.0,292351.0,2010,1,100.0,72.6,17.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6247.5,105.0,102.0,40.759651,-73.974299
6180,87.0,396239.0,1954,1,100.0,84.6,11.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6840.1,106.0,82.0,40.750806,-73.98073
6197,46.0,730547.0,1960,1,95.0,115.7,15.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,18449.8,106.0,88.0,40.750214,-73.973108
6198,69.0,318952.0,1905,1,95.0,78.6,12.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,7218.8,106.0,88.0,40.750288,-73.973288
6234,24.0,53685.0,1915,1,100.0,100.2,14.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1786.3,101.0,39.0,40.718691,-74.009253
6293,83.0,966147.800000002,1973,1,95.0,84.2,18.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,125.0,40.758393,-73.981537
6299,82.0,44223.0,2008,1,100.0,54.2,12.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,553.6,102.0,79.0,40.741256,-74.006117
6323,84.0,966147.800000002,1972,1,100.0,50.8,9.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,0.0,0.0,100.0,22720.4,101.0,13.0,40.704884,-74.01322886
