,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
20968,95.0,43968.0,1908,1,55,28.2,4.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,95.0,-73.991689,40.745735
20973,48.0,30000.0,1900,1,100,72.9,8.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,105.0,54.0,-73.99353,40.738475
20975,100.0,62632.0,1927,1,25,6.0,1.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,31.8,2,0,0,104.0,111.0,-73.993684,40.753162
20980,76.0,59757.0,2016,1,95,80.0,15.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,209.4,4,0,0,102.0,43.0,-73.995663,40.724691
20984,44.0,309190.0,1977,1,90,120.8,11.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,2,0,106.0,11203.0,-73.967542,40.760132
21059,48.0,39000.0,1915,1,85,80.8,11.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,792.0,8,0,0,102.0,37.0,-74.008738,40.724298
21060,94.0,39000.0,1915,1,85,22.0,6.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,844.6,2,1,0,102.0,37.0,-74.008738,40.724298
21061,33.0,32369.0,1959,1,100,93.2,12.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,126.6,4,0,0,106.0,64.0,-73.982755,40.738655
21102,44.0,30528.0,1920,1,100,68.1,16.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,826.8,6,0,0,105.0,113.0,-73.988071,40.754515
21150,58.0,441776.0,1986,1,90,73.5,14.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,102.0,-73.972642,40.760718
21193,69.0,593516.0,1950,1,90,66.1,10.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,22351.9,6,0,0,105.0,137.0,-73.982095,40.765098
21223,71.0,920386.9700000044,2016,1,25,56.3,11.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2843.7,3,0,0,104.0,103.0,-73.997051,40.752825
21230,80.0,544000.0,1969,1,25,45.2,13.7,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,14,0,0,106.0,98.0,-73.970171,40.755733
21249,63.0,35287.0,1900,1,95,76.6,16.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,12,0,0,102.0,45.0,-73.998662,40.720497
21274,76.0,48945.0,1921,1,100,43.8,6.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,105.0,131.0,-73.983109,40.762861
21283,77.0,909850.0,1953,1,100,44.0,11.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,6294.9,4,0,0,105.0,94.0,-73.977152,40.755738
21288,33.0,42500.0,1930,1,100,75.0,17.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,11202.0,-73.973655,40.762843
21289,48.0,200311.0,1929,1,100,70.0,20.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,3537.5,2,0,0,106.0,90.0,-73.972162,40.752328
21294,73.0,25100.0,1910,1,100,74.3,5.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1482.6,6,0,0,102.0,77.0,-74.003962,40.74035
21295,66.0,35998.0,1902,1,100,92.2,5.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2747.8,8,0,0,108.0,14601.0,-73.954384,40.786906
21438,35.0,60000.0,2007,1,100,87.3,16.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,111.0,299.0,-73.9375860801,40.819265
21480,87.0,163041.0,1930,1,100,42.0,5.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,15.46212,7,0,0,104.0,135.0,-73.994834,40.769464
21488,69.0,202130.0,1906,1,100,60.0,11.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4217.5,17,7,0,105.0,58.0,-73.991195,40.742222
21505,56.0,34000.0,1910,1,100,54.2,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,875.7,4,0,0,102.0,45.0,-74.001097,40.720311
21547,90.0,32000.0,1920,1,100,48.3,5.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,437.6,9,0,0,103.0,38.0,-73.990807,40.726785
21570,51.0,33750.0,1926,1,100,39.6,11.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,105.0,4,0,0,106.0,8603.0,-73.964061,40.75546
21598,57.0,28800.0,2002,1,100,72.2,11.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,332.1,2,0,0,111.0,206.0,-73.939484,40.807347
21599,41.0,29723.0,2011,1,100,175.7,27.14799999999996,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1243.7,2,0,0,111.0,184.0,-73.943621,40.801684
21654,99.0,41490.0,1978,1,100,27.1,1.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,102.0,61.0,-73.992863,40.733826
21679,82.0,106859.0,2016,1,25,77.4,14.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,108.0,110.0,-73.962227,40.761363
21687,65.0,70560.0,1912,1,100,58.6,7.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,875.1,9,3,0,105.0,84.0,-73.983683,40.751355
21708,50.0,63433.0,1912,1,100,84.3,16.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,84.0,-73.983654,40.750554
21726,17.0,77169.0,1920,1,75,113.8,18.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2354.9,8,0,0,105.0,82.0,-73.981593,40.751281
21727,68.0,109291.0,1912,1,80,52.8,9.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,0,0,105.0,95.0,-73.991847,40.745782
