,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude,letters
11624,58.519394179544754,16711.92,1910,1,100,14.6,0.8,56246.647999999994,14.4,8.0,4.0,79.5,0.0,0.0,2.22222,1.38889,0.0,5.0,1.38889,90.0,100.0,4594.425778134381,3.0,0,0,110.0,226.0,-73.942856,40.813266,C
11625,58.519394179544754,16711.92,1910,1,100,8.7,0.8,86805.6,36.4,6.0,3.6,79.5,0.0,0.0,2.0,1.1,0.0,11.0,1.1,90.0,100.0,4594.425778134381,4.0,0,0,110.0,220.0,-73.951202,40.806845,C
11626,58.519394179544754,16711.92,1910,1,100,11.6,1.2,116492.0,56.5,8.9,5.7,79.5,0.0,0.0,2.0,1.1,0.0,11.0,1.1,90.0,100.0,4594.425778134381,4.0,0,0,110.0,226.0,-73.942925,40.813297,C
11627,58.519394179544754,16711.92,1910,1,100,12.4,1.2,60556.7,27.2,8.9,5.6,79.5,0.0,0.0,2.44898,1.22449,0.0,6.0,1.22449,90.0,100.0,4594.425778134381,6.0,0,0,110.0,226.0,-73.94312,40.813357,C
11628,58.519394179544754,16711.92,1910,1,100,20.0,1.1,225021.7,52.9,12.6,5.9,79.5,0.0,0.0,1.77778,0.88889,0.0,8.0,0.88889,90.0,100.0,4594.425778134381,6.0,0,0,110.0,218.0,-73.954018,40.80386,C
11629,62.0,59000.0,2004,1,75,9.5,0.9,563214.4,278.5,7.3,4.7,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,2744.6,3.0,0,0,103.0,18.0,-73.988023,40.719967,C
11630,58.519394179544754,100000.0,2001,2,100,6.4,0.8,644048.9,363.0,5.4,3.6,79.5,0.0,0.0,1.7,1.2,0.0,42.0,0.42,100.0,100.0,8937.7,5.0,0,0,103.0,2602.0,-73.980742,40.724868,C
11631,58.519394179544754,32575.0,1905,1,100,4.1,0.0,134833.0,264.6575215753793,4.994492941049683,2.935725305873489,79.5,0.0,0.0,1.71911,1.13584,0.0,5.0,0.15349,0.0,100.0,4594.425778134381,6.0,0,0,109.0,199.0,-73.965944,40.807155,C
11632,1.0,30000.0,1915,1,100,9.8,1.1,292560.0,152.7,7.7,5.1,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,325.4,2.0,0,0,101.0,31.0,-74.001479,40.7191,D
11648,57.0,70300.0,2004,1,100,6.9,0.5,486768.8,211.7,4.9,3.0,79.5,0.0,0.0,1.79232,0.85349,0.0,60.0,0.85349,90.0,100.0,7942.6,7.0,0,0,111.0,184.0,-73.943279,40.800095,C
